@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute outputs-2 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}
@attribute outputs-3 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}

@data
655,'2025/11/18 23:30:51:507',9,0.450197,0.579417,0.336871,0.646555,0.419417,0.670852,0.507246,0.660083,0.584185,0.623908,0.56351,0.675561,0.654057,0.707997,0.712099,0.736717,0.765231,0.572437,0.573433,0.620057,0.612737,0.61726,0.504808,0.607991,0.429063,0.520593,0.564819,0.565814,0.571544,0.561232,0.463494,0.5487,0.403736,0.466161,0.544758,0,0,0.510763,0.562055,0.516199,0.488252,0.504214,?,6,?
656,'2025/11/18 23:30:51:707',9,0.451618,0.584314,0.340885,0.651408,0.422459,0.673783,0.511839,0.660567,0.589682,0.62646,0.567409,0.677449,0.658837,0.710879,0.717118,0.740515,0.770148,0.574754,0.576735,0.622175,0.615464,0.618548,0.505905,0.608846,0.430461,0.522713,0.567484,0.568858,0.574953,0.563445,0.465966,0.550071,0.406463,0.467841,0.546404,0,0,0.513241,0.565446,0.518686,0.49088,0.506445,?,6,?
657,'2025/11/18 23:30:51:905',9,0.45312,0.585345,0.340931,0.651764,0.422962,0.675154,0.51209,0.663937,0.590492,0.629487,0.566618,0.680681,0.657641,0.714566,0.716448,0.744367,0.770216,0.577396,0.576648,0.624906,0.613294,0.620837,0.503745,0.610779,0.429834,0.525228,0.567798,0.571877,0.573542,0.565663,0.465198,0.551629,0.40663,0.4706,0.547218,0,0,0.516509,0.564505,0.521034,0.491467,0.508034,?,6,?
658,'2025/11/18 23:30:52:108',9,0.452712,0.58855,0.33834,0.654435,0.42171,0.678194,0.50923,0.665643,0.586554,0.63197,0.567436,0.683744,0.656044,0.718345,0.714532,0.748386,0.767541,0.579676,0.577138,0.627238,0.610079,0.622966,0.499198,0.612831,0.425154,0.527183,0.567503,0.574193,0.573542,0.568302,0.464567,0.554353,0.405831,0.472477,0.545766,0,0,0.518494,0.563725,0.523605,0.49095,0.510444,?,6,?
659,'2025/11/18 23:30:52:275',9,0.452788,0.585047,0.340474,0.651813,0.423744,0.676334,0.512625,0.664106,0.590054,0.629357,0.568533,0.681825,0.659251,0.714746,0.717653,0.744843,0.77053,0.577436,0.578314,0.625012,0.612783,0.622371,0.505487,0.615255,0.428175,0.524939,0.569335,0.570768,0.573599,0.565177,0.466473,0.553035,0.405304,0.470379,0.549552,0,0,0.51537,0.564297,0.519719,0.491864,0.507701,?,6,?
660,'2025/11/18 23:30:52:466',9,0.452278,0.585536,0.34291,0.652195,0.424516,0.675889,0.512136,0.661244,0.588648,0.628998,0.57002,0.680728,0.660228,0.714455,0.717915,0.744123,0.770831,0.57733,0.579626,0.624198,0.61388,0.620207,0.504442,0.610792,0.429801,0.525187,0.570047,0.571152,0.574793,0.56545,0.466854,0.552393,0.40841,0.470616,0.549207,0,0,0.51604,0.566598,0.521233,0.492158,0.509394,?,6,?
661,'2025/11/18 23:30:52:655',9,0.454504,0.590435,0.338995,0.657053,0.417383,0.67902,0.503548,0.659357,0.578285,0.634265,0.569656,0.68422,0.656775,0.716905,0.714284,0.74463,0.767619,0.581789,0.580389,0.626436,0.607961,0.623289,0.495907,0.61329,0.42053,0.529012,0.569962,0.574922,0.575642,0.570629,0.468572,0.557089,0.408428,0.474243,0.545954,0,0,0.52066,0.563569,0.526204,0.491222,0.513331,?,6,?
662,'2025/11/18 23:30:52:836',9,0.454713,0.58996,0.337884,0.654349,0.40602,0.6749,0.488294,0.649936,0.561395,0.629764,0.567675,0.681345,0.655755,0.716541,0.713479,0.744557,0.768017,0.581414,0.580076,0.629609,0.597714,0.621351,0.48511,0.603085,0.418793,0.532456,0.571279,0.582797,0.581339,0.573655,0.473618,0.552727,0.418415,0.478676,0.548377,0,0,0.531472,0.563228,0.534765,0.492601,0.516244,?,6,?
663,'2025/11/18 23:30:53:020',9,0.461955,0.584508,0.340228,0.654578,0.398088,0.667418,0.476405,0.63,0.539663,0.633746,0.565802,0.682644,0.65462,0.716121,0.715196,0.742675,0.76814,0.582553,0.576384,0.63381,0.61875,0.623081,0.510075,0.604282,0.450062,0.53411,0.56886,0.581212,0.59183,0.573473,0.482829,0.553986,0.432361,0.481502,0.5463,0,0,0.531676,0.563579,0.535759,0.49108,0.51802,?,6,?
664,'2025/11/18 23:30:53:204',9,0.46675,0.58542,0.3366,0.650651,0.396612,0.655301,0.47462,0.610768,0.521238,0.635056,0.567233,0.685058,0.646333,0.720403,0.706465,0.746975,0.760216,0.582255,0.581473,0.635666,0.612229,0.620088,0.502422,0.595885,0.455447,0.534703,0.574874,0.582545,0.588373,0.572706,0.480253,0.54933,0.440857,0.483787,0.55136,0,0,0.533835,0.565202,0.53656,0.492315,0.517427,?,6,?
665,'2025/11/18 23:30:53:385',9,0.472496,0.584114,0.330081,0.651385,0.389852,0.6485,0.465679,0.596741,0.497329,0.638668,0.568692,0.683286,0.648139,0.716365,0.707439,0.741451,0.756553,0.586679,0.582424,0.639892,0.62313,0.624361,0.517201,0.598615,0.473493,0.538854,0.574976,0.583917,0.599659,0.576049,0.498746,0.551669,0.465393,0.485471,0.550038,0,0,0.531157,0.567868,0.536945,0.496982,0.51954,?,6,?
666,'2025/11/18 23:30:53:572',9,0.466042,0.585768,0.330145,0.651115,0.392202,0.646992,0.465226,0.598539,0.49685,0.633934,0.565289,0.678807,0.649086,0.711451,0.710427,0.734479,0.761837,0.581986,0.576414,0.634938,0.623318,0.622053,0.517032,0.596957,0.471023,0.534846,0.568031,0.578751,0.596579,0.573062,0.494371,0.54916,0.460153,0.482381,0.542807,0,0,0.528583,0.563516,0.534334,0.491359,0.516071,?,6,?
667,'2025/11/18 23:30:53:741',9,0.450199,0.589238,0.322126,0.656753,0.3827,0.653931,0.459293,0.602179,0.491355,0.635953,0.562942,0.68022,0.647518,0.710286,0.711015,0.731246,0.764368,0.582303,0.573417,0.632665,0.616632,0.621633,0.510992,0.599939,0.466181,0.534176,0.563314,0.57792,0.58207,0.572697,0.481633,0.551187,0.447711,0.482693,0.53645,0,0,0.529092,0.552431,0.536194,0.481232,0.52011,?,6,?
668,'2025/11/18 23:30:53:939',9,0.427085,0.600978,0.310669,0.6701,0.373744,0.672027,0.449339,0.620411,0.474417,0.647925,0.555722,0.691344,0.640785,0.720865,0.705573,0.742219,0.760764,0.595069,0.565002,0.645263,0.599216,0.635336,0.495197,0.614576,0.444551,0.546762,0.552068,0.594311,0.564857,0.589577,0.462861,0.569464,0.419861,0.496025,0.522181,0,0,0.544441,0.531942,0.551925,0.460824,0.538625,?,6,?
669,'2025/11/18 23:30:54:142',9,0.407463,0.621505,0.295418,0.693595,0.359999,0.694497,0.434073,0.640371,0.463323,0.664817,0.543295,0.706662,0.633583,0.735071,0.701201,0.756403,0.762939,0.6121,0.549066,0.663,0.582928,0.655918,0.477258,0.636,0.421683,0.564198,0.534499,0.614374,0.551955,0.610714,0.445604,0.591417,0.39741,0.514275,0.503339,0,0,0.564895,0.517274,0.571807,0.442158,0.558584,?,6,?
670,'2025/11/18 23:30:54:344',9,0.403232,0.631551,0.296912,0.700592,0.365893,0.697615,0.437681,0.642301,0.457569,0.667862,0.550661,0.706282,0.63852,0.732388,0.706546,0.75108,0.766829,0.613324,0.555102,0.662682,0.581831,0.657356,0.474266,0.638121,0.420416,0.565619,0.537167,0.614886,0.545702,0.614549,0.440442,0.596967,0.39445,0.517494,0.502083,0,0,0.56705,0.510288,0.576951,0.436186,0.56564,?,6,?
671,'2025/11/18 23:30:54:506',9,0.401569,0.63562,0.297286,0.704409,0.368316,0.698904,0.439566,0.643542,0.457478,0.665901,0.547634,0.702702,0.637549,0.726928,0.705148,0.743683,0.765849,0.61256,0.550967,0.661001,0.584966,0.658417,0.478972,0.640934,0.423148,0.565628,0.532792,0.614602,0.546619,0.616045,0.441716,0.599271,0.39405,0.51822,0.498709,0,0,0.567782,0.508866,0.57813,0.436362,0.56697,?,6,?
672,'2025/11/18 23:30:54:672',9,0.400474,0.639307,0.297194,0.703619,0.370269,0.700577,0.440998,0.645236,0.458643,0.668636,0.550627,0.704899,0.639456,0.728668,0.706348,0.744425,0.766469,0.615302,0.552436,0.663154,0.58618,0.660265,0.47686,0.642464,0.42356,0.568023,0.532183,0.615056,0.54649,0.618184,0.440105,0.602334,0.393661,0.520415,0.495595,0,0,0.567439,0.508747,0.580248,0.43504,0.571056,?,6,?
673,'2025/11/18 23:30:54:858',9,0.402044,0.642477,0.304718,0.704243,0.378663,0.700045,0.446556,0.645702,0.46113,0.669173,0.556959,0.703981,0.643186,0.726621,0.708584,0.742143,0.767682,0.615804,0.559343,0.662499,0.586699,0.659955,0.478548,0.642887,0.425361,0.568953,0.537996,0.616357,0.544278,0.620159,0.440676,0.605084,0.395236,0.522499,0.499329,0,0,0.5696,0.507067,0.583059,0.435391,0.574867,?,6,?
674,'2025/11/18 23:30:55:013',9,0.398315,0.647382,0.304696,0.709916,0.377501,0.701915,0.442842,0.648787,0.462621,0.670789,0.553403,0.704387,0.639913,0.726181,0.705868,0.740699,0.765242,0.617583,0.554517,0.665883,0.585608,0.664737,0.478723,0.64703,0.427238,0.570946,0.532268,0.619325,0.543307,0.624243,0.440189,0.608249,0.396634,0.523641,0.493291,0,0,0.570972,0.502773,0.586566,0.430939,0.578733,?,6,?
675,'2025/11/18 23:30:55:210',9,0.391791,0.656314,0.297863,0.71842,0.366241,0.710788,0.431103,0.657988,0.449242,0.673923,0.542686,0.707354,0.637505,0.729379,0.705947,0.743487,0.768027,0.621735,0.540986,0.670032,0.578644,0.672225,0.471035,0.656885,0.41687,0.575755,0.517996,0.624032,0.534821,0.631013,0.431599,0.617148,0.385263,0.529638,0.478728,0,0,0.577536,0.491106,0.593774,0.421641,0.586828,?,6,?
676,'2025/11/18 23:30:55:376',9,0.392729,0.664135,0.30135,0.725492,0.370173,0.714704,0.43318,0.66202,0.449969,0.678887,0.54594,0.710845,0.639484,0.731961,0.707431,0.745373,0.769593,0.626626,0.544655,0.672537,0.579537,0.677655,0.474653,0.665513,0.421189,0.581047,0.52073,0.628184,0.532437,0.63734,0.430607,0.625506,0.384732,0.536412,0.480431,0,0,0.58284,0.487101,0.598918,0.419937,0.591737,?,6,?
677,'2025/11/18 23:30:55:548',9,0.395216,0.670973,0.302329,0.731041,0.372346,0.722053,0.436777,0.671136,0.45586,0.683897,0.550348,0.714627,0.642558,0.736,0.710234,0.750559,0.770938,0.631364,0.549502,0.678493,0.583523,0.684745,0.47914,0.672832,0.424287,0.585434,0.525148,0.63449,0.534521,0.643833,0.433825,0.631253,0.388541,0.540529,0.483512,0,0,0.588501,0.490617,0.604692,0.424148,0.596635,?,6,?
678,'2025/11/18 23:30:55:718',9,0.393478,0.671883,0.30288,0.732075,0.373832,0.72341,0.438269,0.671476,0.452423,0.684009,0.548909,0.713911,0.64246,0.734494,0.71047,0.747044,0.771769,0.631392,0.547044,0.677683,0.583145,0.683399,0.477076,0.670262,0.425512,0.585882,0.522689,0.633857,0.534078,0.643262,0.433212,0.629847,0.391107,0.541446,0.481344,0,0,0.588794,0.487909,0.604615,0.422712,0.595151,?,6,?
679,'2025/11/18 23:30:55:906',9,0.393954,0.672127,0.299298,0.732127,0.369259,0.724276,0.432854,0.674394,0.451058,0.685324,0.5495,0.715466,0.64287,0.736246,0.711113,0.749864,0.771912,0.632357,0.547852,0.679577,0.585343,0.687669,0.479822,0.676647,0.424865,0.586204,0.523311,0.6353,0.53422,0.646033,0.433232,0.634088,0.388168,0.541295,0.481579,0,0,0.58959,0.487643,0.607317,0.420787,0.600374,?,6,?
680,'2025/11/18 23:30:56:070',9,0.40407,0.654646,0.303706,0.717226,0.375635,0.712879,0.442198,0.660779,0.463314,0.677557,0.553714,0.710383,0.641638,0.733735,0.708624,0.7507,0.768721,0.624499,0.555039,0.671031,0.58508,0.674029,0.480619,0.66068,0.423296,0.578102,0.533611,0.62808,0.542351,0.633104,0.438997,0.618959,0.390966,0.532592,0.49468,0,0,0.5817,0.502036,0.594389,0.432794,0.585699,?,6,?
681,'2025/11/18 23:30:56:254',9,0.412077,0.649198,0.308669,0.709681,0.38309,0.705474,0.452566,0.653898,0.473087,0.670139,0.55741,0.705349,0.646651,0.728259,0.714002,0.744231,0.772874,0.617774,0.558939,0.666022,0.59376,0.666375,0.485919,0.65204,0.430373,0.571725,0.538214,0.621815,0.549317,0.625927,0.444021,0.61189,0.395939,0.526623,0.501286,0,0,0.575455,0.510629,0.588337,0.440721,0.579643,?,6,?
682,'2025/11/18 23:30:56:438',9,0.42517,0.636037,0.313553,0.697704,0.386248,0.694358,0.455133,0.644059,0.481488,0.669378,0.564312,0.705161,0.652978,0.730195,0.718172,0.74828,0.775617,0.617768,0.569159,0.663258,0.59932,0.658938,0.494583,0.642636,0.438332,0.57032,0.550798,0.616045,0.561302,0.616386,0.457214,0.601436,0.408703,0.522654,0.516184,0,0,0.568583,0.526858,0.578309,0.456457,0.568199,?,6,?
683,'2025/11/18 23:30:56:619',9,0.434695,0.626035,0.321926,0.686695,0.388848,0.685536,0.457842,0.638659,0.490487,0.662753,0.563574,0.702577,0.654362,0.729645,0.717298,0.750718,0.773871,0.612658,0.568039,0.658893,0.606799,0.653424,0.506185,0.637962,0.445923,0.565056,0.551862,0.609419,0.571176,0.607307,0.468803,0.592861,0.415743,0.516172,0.519808,0,0,0.560701,0.54072,0.568906,0.471401,0.558467,?,6,?
684,'2025/11/18 23:30:56:810',9,0.443811,0.615153,0.330214,0.676089,0.393148,0.678475,0.462542,0.632673,0.49854,0.65455,0.567516,0.694879,0.658363,0.721565,0.721203,0.741198,0.776129,0.60409,0.571482,0.649229,0.613377,0.642641,0.510829,0.627026,0.452549,0.556412,0.556233,0.597119,0.580591,0.59661,0.476814,0.583411,0.424636,0.506663,0.525335,0,0,0.54808,0.551295,0.558073,0.481238,0.549119,?,6,?
685,'2025/11/18 23:30:57:002',9,0.451143,0.608304,0.334187,0.671768,0.396956,0.676344,0.469617,0.631401,0.509142,0.650846,0.563559,0.693673,0.655808,0.72138,0.718696,0.74226,0.773909,0.600613,0.569706,0.649659,0.619817,0.640569,0.517694,0.623648,0.459823,0.553683,0.558125,0.596335,0.581241,0.591724,0.478597,0.576295,0.429765,0.504819,0.531319,0,0,0.547562,0.556994,0.555064,0.487374,0.544142,?,6,?
686,'2025/11/18 23:30:57:203',9,0.462368,0.595796,0.335711,0.662582,0.391085,0.672128,0.465883,0.628145,0.515465,0.649667,0.562532,0.698161,0.655281,0.732085,0.720876,0.758069,0.776896,0.599762,0.570802,0.650802,0.618058,0.636822,0.513858,0.617351,0.455716,0.553456,0.562064,0.596907,0.59035,0.58846,0.486918,0.570502,0.435793,0.504316,0.538702,0,0,0.54772,0.569941,0.552829,0.500172,0.54063,?,6,?
687,'2025/11/18 23:30:57:407',9,0.471354,0.588574,0.337406,0.656422,0.391304,0.665903,0.468682,0.623471,0.523686,0.64608,0.561954,0.694324,0.651075,0.728854,0.714304,0.755529,0.768324,0.595064,0.572224,0.643661,0.617823,0.626239,0.51291,0.606033,0.455416,0.54803,0.565811,0.589217,0.593959,0.578766,0.489921,0.560502,0.439461,0.497473,0.545863,0,0,0.540697,0.578514,0.544178,0.506677,0.530963,?,6,?
688,'2025/11/18 23:30:57:572',9,0.477132,0.571264,0.346037,0.642539,0.399346,0.655462,0.476486,0.611878,0.528764,0.636203,0.56504,0.685167,0.654497,0.718319,0.716289,0.743658,0.769847,0.586066,0.577423,0.632065,0.626994,0.612748,0.522685,0.592838,0.465275,0.538893,0.573105,0.57711,0.600654,0.564895,0.496159,0.547086,0.445226,0.487438,0.556135,0,0,0.528163,0.588647,0.5302,0.515942,0.517235,?,6,?
689,'2025/11/18 23:30:57:733',9,0.486232,0.562044,0.353441,0.632791,0.405011,0.645723,0.480339,0.604758,0.53593,0.630878,0.566007,0.681849,0.657643,0.716182,0.719981,0.740878,0.774183,0.58127,0.578281,0.629363,0.633624,0.607745,0.528783,0.585993,0.473777,0.534887,0.575083,0.573816,0.607617,0.559503,0.502368,0.540479,0.455444,0.483845,0.560278,0,0,0.525433,0.592268,0.524772,0.518999,0.50995,?,6,?
690,'2025/11/18 23:30:57:920',9,0.495817,0.554314,0.359495,0.626781,0.40695,0.642011,0.481131,0.603824,0.540031,0.630465,0.568861,0.683324,0.658938,0.719073,0.718651,0.745585,0.77224,0.582033,0.583508,0.629525,0.639506,0.607263,0.537975,0.585942,0.483235,0.535313,0.582257,0.57398,0.614076,0.557341,0.509634,0.537775,0.463235,0.483678,0.569814,0,0,0.524595,0.60047,0.522542,0.52737,0.507677,?,6,?
691,'2025/11/18 23:30:58:109',9,0.509189,0.5481,0.373939,0.621352,0.41795,0.638392,0.490771,0.603552,0.552694,0.627898,0.576199,0.684475,0.665194,0.724115,0.722913,0.754376,0.775844,0.57955,0.593011,0.628253,0.646133,0.603316,0.543044,0.579785,0.486954,0.533264,0.59431,0.572796,0.623522,0.55395,0.518924,0.533051,0.472923,0.482095,0.58496,0,0,0.525249,0.614677,0.52111,0.541711,0.50487,?,6,?
692,'2025/11/18 23:30:58:274',9,0.513807,0.543303,0.378858,0.616781,0.422247,0.634839,0.495481,0.60277,0.558243,0.626746,0.578852,0.683567,0.666997,0.721717,0.724061,0.752042,0.777307,0.579758,0.597615,0.627726,0.647388,0.602585,0.546348,0.578518,0.488058,0.532992,0.60066,0.572795,0.631837,0.552281,0.528258,0.530736,0.478298,0.480492,0.593248,0,0,0.523697,0.621841,0.518546,0.54957,0.50229,?,6,?
693,'2025/11/18 23:30:58:441',9,0.519509,0.540495,0.381886,0.614217,0.423654,0.631049,0.496345,0.600735,0.560713,0.624282,0.581159,0.681691,0.667793,0.720108,0.724171,0.750666,0.776788,0.577045,0.601138,0.625884,0.652363,0.601088,0.55181,0.576875,0.492689,0.529971,0.605117,0.569417,0.633467,0.549404,0.530703,0.528252,0.482135,0.477401,0.597671,0,0,0.520538,0.624476,0.515613,0.551813,0.499417,?,6,?
694,'2025/11/18 23:30:58:609',9,0.531243,0.536065,0.389529,0.612804,0.428125,0.627045,0.504686,0.595578,0.57272,0.621764,0.585319,0.679156,0.668905,0.717154,0.72437,0.747363,0.775499,0.573696,0.607329,0.626053,0.656432,0.599762,0.557216,0.574334,0.503143,0.526925,0.613699,0.568624,0.642139,0.546725,0.537168,0.523933,0.490434,0.473942,0.609174,0,0,0.519835,0.63633,0.513551,0.562413,0.495105,?,6,?
695,'2025/11/18 23:30:58:770',9,0.54145,0.528526,0.398176,0.604505,0.436335,0.621284,0.51121,0.592656,0.580832,0.618917,0.589391,0.678531,0.670852,0.718316,0.724983,0.749618,0.776255,0.572167,0.613272,0.625077,0.664721,0.596599,0.565092,0.570722,0.512459,0.52526,0.620636,0.568925,0.651572,0.545017,0.546268,0.520609,0.50181,0.47168,0.617356,0,0,0.519549,0.647332,0.51179,0.573238,0.491973,?,6,?
696,'2025/11/18 23:30:58:963',9,0.556013,0.521472,0.409822,0.597833,0.446092,0.617404,0.521895,0.59252,0.595202,0.618645,0.592923,0.680977,0.674908,0.722559,0.727146,0.755772,0.776542,0.572919,0.620404,0.625095,0.671613,0.593704,0.575439,0.565812,0.523535,0.525836,0.630696,0.567888,0.664879,0.542915,0.562202,0.517468,0.515697,0.471511,0.629762,0,0,0.517606,0.666598,0.510647,0.59405,0.491116,?,6,?
697,'2025/11/18 23:30:59:119',9,0.57036,0.514267,0.42042,0.591941,0.45377,0.611875,0.530611,0.586536,0.605864,0.617013,0.602066,0.682391,0.678283,0.725636,0.727824,0.760479,0.77641,0.571987,0.632931,0.623281,0.677509,0.590264,0.58242,0.561674,0.532338,0.524903,0.645468,0.56587,0.674892,0.53934,0.573348,0.513613,0.526534,0.469619,0.646336,0,0,0.51518,0.68294,0.507843,0.608947,0.488516,?,6,?
698,'2025/11/18 23:30:59:313',9,0.582641,0.506524,0.429099,0.583389,0.461007,0.60345,0.537176,0.579416,0.612948,0.613172,0.603053,0.677847,0.676329,0.720192,0.725137,0.753826,0.772262,0.568549,0.634879,0.619542,0.681193,0.584821,0.588149,0.556349,0.539692,0.52131,0.649782,0.56122,0.681605,0.533524,0.581551,0.507981,0.536532,0.46625,0.654139,0,0,0.511732,0.691381,0.502672,0.616978,0.48286,?,6,?
699,'2025/11/18 23:30:59:501',9,0.583632,0.501121,0.429572,0.578151,0.462261,0.598822,0.538697,0.576306,0.613913,0.609059,0.604232,0.673035,0.676368,0.714748,0.723282,0.74829,0.768036,0.565741,0.636647,0.616767,0.687425,0.582561,0.597802,0.553272,0.545669,0.518746,0.652513,0.558371,0.687264,0.530957,0.588363,0.50431,0.538168,0.463152,0.658883,0,0,0.508106,0.69925,0.500302,0.626633,0.480428,?,6,?
700,'2025/11/18 23:30:59:688',9,0.585048,0.498347,0.432224,0.576094,0.463138,0.596242,0.540581,0.572968,0.616846,0.606303,0.604558,0.671183,0.676455,0.713959,0.723908,0.74769,0.7694,0.562867,0.636946,0.614456,0.685355,0.579312,0.595557,0.548329,0.54545,0.516217,0.652978,0.55642,0.687679,0.528239,0.589141,0.500844,0.541637,0.460844,0.660539,0,0,0.506102,0.699995,0.498254,0.627293,0.478058,?,6,?
701,'2025/11/18 23:30:59:887',9,0.581253,0.498647,0.430696,0.576495,0.461338,0.597463,0.539438,0.572352,0.615758,0.605804,0.60371,0.671681,0.676206,0.714572,0.724365,0.748722,0.771062,0.562322,0.636431,0.614775,0.683919,0.578235,0.594349,0.546945,0.545169,0.515842,0.652748,0.556302,0.685335,0.526749,0.586982,0.49895,0.540247,0.461099,0.659962,0,0,0.506479,0.698421,0.497613,0.625373,0.476942,?,6,?
702,'2025/11/18 23:31:00:085',9,0.556521,0.508313,0.415178,0.586422,0.445858,0.607611,0.521127,0.582031,0.593973,0.609156,0.590762,0.673518,0.663202,0.717185,0.71131,0.752764,0.757764,0.564885,0.620891,0.618237,0.660853,0.582009,0.563564,0.550884,0.515164,0.519365,0.63372,0.56218,0.661733,0.533234,0.561094,0.505471,0.517921,0.465928,0.636286,0,0,0.513749,0.667647,0.503818,0.595894,0.481731,?,6,?
703,'2025/11/18 23:31:00:288',9,0.550371,0.509996,0.411084,0.586455,0.445864,0.608136,0.51793,0.578135,0.58625,0.606966,0.591023,0.667983,0.667756,0.708008,0.718051,0.739532,0.76542,0.562058,0.617884,0.615432,0.668592,0.583041,0.574587,0.554812,0.524937,0.515787,0.627868,0.556368,0.660245,0.530985,0.560247,0.506253,0.516484,0.462207,0.626973,0,0,0.507151,0.662068,0.500213,0.591339,0.480835,?,6,?
704,'2025/11/18 23:31:00:452',9,0.542439,0.522206,0.404024,0.595465,0.443419,0.612886,0.518386,0.583064,0.586297,0.610324,0.590925,0.670883,0.669862,0.711844,0.722325,0.743232,0.771346,0.564149,0.615851,0.618058,0.664115,0.58787,0.565171,0.559727,0.515397,0.517627,0.623254,0.560262,0.65368,0.536184,0.551025,0.51015,0.508151,0.463949,0.619681,0,0,0.508963,0.651878,0.503356,0.579619,0.483434,?,6,?
705,'2025/11/18 23:31:00:665',9,0.53076,0.539329,0.394379,0.612014,0.435988,0.627943,0.511685,0.595216,0.574526,0.622058,0.586302,0.678376,0.667868,0.716276,0.720874,0.746178,0.77131,0.575745,0.609141,0.626095,0.654077,0.600645,0.555718,0.574147,0.502674,0.528761,0.614731,0.570526,0.643512,0.550041,0.542516,0.525838,0.49633,0.47548,0.609455,0,0,0.520255,0.633687,0.515122,0.563749,0.495641,?,6,?
706,'2025/11/18 23:31:00:854',9,0.510679,0.552987,0.387202,0.625854,0.427658,0.641165,0.501347,0.605062,0.559976,0.630093,0.586507,0.683349,0.667988,0.720123,0.723684,0.748487,0.77356,0.583418,0.604451,0.633501,0.64681,0.608469,0.547512,0.583981,0.49611,0.538031,0.606581,0.579149,0.630344,0.559249,0.531415,0.536784,0.488531,0.486586,0.597653,0,0,0.529908,0.615028,0.52501,0.546534,0.507144,?,6,?
707,'2025/11/18 23:31:01:021',9,0.4982,0.56079,0.37929,0.632153,0.427729,0.647231,0.502301,0.609927,0.552758,0.628064,0.581459,0.679417,0.669284,0.713925,0.726966,0.740742,0.779644,0.581428,0.595307,0.631846,0.645433,0.610797,0.546607,0.587256,0.489979,0.536098,0.594409,0.578422,0.623831,0.562382,0.524373,0.541372,0.476691,0.485956,0.58221,0,0,0.529533,0.603196,0.527254,0.534618,0.510699,?,6,?
708,'2025/11/18 23:31:01:201',9,0.487223,0.564953,0.369404,0.638584,0.417518,0.654593,0.493128,0.6116,0.541716,0.630484,0.579531,0.681069,0.667042,0.714279,0.725663,0.739471,0.778303,0.583574,0.591156,0.631457,0.639589,0.612952,0.539004,0.592081,0.483103,0.538442,0.588016,0.580074,0.612396,0.565725,0.512355,0.545254,0.465419,0.488803,0.574082,0,0,0.53276,0.592558,0.530569,0.523367,0.513779,?,6,?
709,'2025/11/18 23:31:01:386',9,0.475436,0.580704,0.35561,0.652142,0.407103,0.663063,0.482803,0.620217,0.530325,0.639345,0.56985,0.686825,0.658814,0.719032,0.719296,0.743236,0.77218,0.590847,0.58002,0.640369,0.625134,0.625206,0.524593,0.604319,0.469053,0.545012,0.574533,0.58776,0.602668,0.577101,0.501186,0.556917,0.452152,0.494314,0.557289,0,0,0.538752,0.579849,0.540166,0.508806,0.524381,?,6,?
710,'2025/11/18 23:31:01:568',9,0.468309,0.584502,0.348306,0.653824,0.398991,0.664068,0.473053,0.622461,0.521526,0.639343,0.565614,0.686532,0.65433,0.718852,0.716392,0.743143,0.771002,0.590989,0.574964,0.639549,0.6219,0.626272,0.519733,0.606198,0.462352,0.545618,0.568056,0.587217,0.594882,0.578613,0.494576,0.559538,0.446161,0.495999,0.547997,0,0,0.539665,0.571132,0.542348,0.501588,0.527183,?,6,?
711,'2025/11/18 23:31:01:758',9,0.463747,0.587477,0.347259,0.654524,0.398813,0.665986,0.468712,0.625991,0.515621,0.642011,0.564718,0.689531,0.652141,0.722449,0.713442,0.745936,0.767042,0.592958,0.57319,0.642897,0.615201,0.629946,0.511125,0.608757,0.45515,0.547186,0.565233,0.591074,0.590006,0.582547,0.488895,0.562712,0.442519,0.497916,0.543376,0,0,0.543681,0.565598,0.546587,0.496938,0.530554,?,6,?
